skill_level,tasks,path,occupation_code,occupation_name,National Shortage Rating
"Indicative Skill Level:Most occupations in this major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orAQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orNZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:setting the overall direction and objectives of organisations and departments within organisationsformulating, administering and reviewing policy and legislation to ensure organisational and departmental objectives are metdirecting and coordinating the allocation of assets and resourcesdirecting, controlling and coordinating the activities of organisations and departments, either personally or through senior subordinate staffmonitoring and evaluating overall organisational and departmental performance, and adjusting policies, rules and regulations to ensure objectives are metrepresenting the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility","setting the overall direction and objectives of organisations and departments within organisations; formulating, administering and reviewing policy and legislation to ensure organisational and departmental objectives are met; directing and coordinating the allocation of assets and resources; directing, controlling and coordinating the activities of organisations and departments, either personally or through senior subordinate staff; monitoring and evaluating overall organisational and departmental performance, and adjusting policies, rules and regulations to ensure objectives are met; representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility",Managers,1,Managers,
"Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:determining and setting the overall direction and objectives of organisationsdetermining and formulating policies, rules and regulations to govern the overall operations of organisationsdirecting and controlling the overall operations of organisations to ensure objectives are metmonitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are metrepresenting the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibilitydetermining, planning and formulating government policies, laws, rules and regulationsinvestigating matters of concern to the public and electorate, and proposing government action","determining and setting the overall direction and objectives of organisations; determining and formulating policies, rules and regulations to govern the overall operations of organisations; directing and controlling the overall operations of organisations to ensure objectives are met; monitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are met; representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility; determining, planning and formulating government policies, laws, rules and regulations; investigating matters of concern to the public and electorate, and proposing government action","Managers > Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:determining and setting the overall direction and objectives of organisationsdetermining and formulating policies, rules and regulations to govern the overall operations of organisationsdirecting and controlling the overall operations of organisations to ensure objectives are metmonitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are metrepresenting the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibilitydetermining, planning and formulating government policies, laws, rules and regulationsinvestigating matters of concern to the public and electorate, and proposing government action","determining and setting the overall direction and objectives of organisations; determining and formulating policies, rules and regulations to govern the overall operations of organisations; directing and controlling the overall operations of organisations to ensure objectives are met; monitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are met; representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility; determining, planning and formulating government policies, laws, rules and regulations; investigating matters of concern to the public and electorate, and proposing government action","Managers > Chief Executives, General Managers and Legislators",111,"Chief Executives, General Managers and Legislators",
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:determining objectives, strategies, policies and programs for organisationsproviding overall direction and management to organisationsauthorising material, human and financial resources to implement organisational policies and programsmonitoring and evaluating performance of organisations against organisational objectives and strategiesconsulting with senior subordinate staff and reviewing recommendations and reportspreparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodiesrepresenting the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibilityselecting, or approving the selection of senior staffensuring the organisation complies with company laws and other relevant legislationOccupation:111111 Chief Executive or Managing Director111111 Chief Executive or Managing DirectorAlternative Title:Chief Executive OfficerDetermines, formulates and reviews the general policy program and the overall direction of an organisation within the framework established by a board of directors or similar governing body.Skill Level: 1Specialisations:Director-GeneralExecutive DirectorSecretary (Government Department)","determining objectives, strategies, policies and programs for organisations; providing overall direction and management to organisations; authorising material, human and financial resources to implement organisational policies and programs; monitoring and evaluating performance of organisations against organisational objectives and strategies; consulting with senior subordinate staff and reviewing recommendations and reports; preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies; representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility; selecting, or approving the selection of senior staff; ensuring the organisation complies with company laws and other relevant legislation","Managers > Chief Executives, General Managers and Legislators > Chief Executives and Managing Directors",1111,Chief Executives and Managing Directors,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:planning policy, and setting standards and objectives for organisationsproviding day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiencyassessing changing situations and responding accordingly by issuing commands and directives to subordinate staffconsulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resourcesauthorising the funding of major policy implementation programsrepresenting the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibilitypreparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodiesselecting and managing the performance of senior staffmay undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operationsOccupations:111211 Corporate General Manager111212 Defence Force Senior Officer111211 Corporate General ManagerAlternative Title:Chief Operating OfficerPlans, organises, directs, controls and reviews the day-to-day operations and major functions of a commercial, industrial, governmental or other organisation through departmental managers and subordinate executives.Skill Level: 1Specialisations:Assistant Commissioner (Police)Hospital AdministratorKaiwhakahaere (NZ)Managing EditorTrade Union Secretary111212 Defence Force Senior OfficerAlternative Titles:Air Force Senior OfficerArmy Senior OfficerNavy Senior OfficerPlans, organises, directs, controls and reviews the day-to-day operations and major functions of organisational units of the Australian or New Zealand Defence Forces through subordinate officers.Skill Level: 1Specialisations:Air Chief Marshal (Air Force)Air Commodore (Air Force)Air Marshal (Air Force)Air Vice Marshal (Air Force)Group Captain (Air Force)Wing Commander (Air Force)Brigadier (Army)Colonel (Army)General (Army)Lieutenant Colonel (Army)Lieutenant General (Army)Major General (Army)Admiral (Navy)Captain (Navy)Commander (Navy)Commodore (Navy)Rear Admiral (Navy)Vice Admiral (Navy)","planning policy, and setting standards and objectives for organisations; providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency; assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff; consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources; authorising the funding of major policy implementation programs; representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility; preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies; selecting and managing the performance of senior staff; may undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations","Managers > Chief Executives, General Managers and Legislators > General Managers",1112,General Managers,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-lawshelping constituents with a range of problems particularly with regard to matters concerning government and local agenciesinvestigating matters of concern to the public and to particular persons and groupsintroducing proposals for government action and representing public and electoral interestsissuing policy directions to government departments and exercising control over local government authoritiesattending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plansmay serve as a member on parliamentary committees and inquiriesmay present petitions on behalf of concerned groupsOccupations:111311 Local Government Legislator111312 Member of Parliament111399 Legislators nec111311 Local Government LegislatorAlternative Titles:AldermanCouncillorRepresents the interests of people in a constituency as their elected member of a local government authority.Skill Level: 1Specialisations:Community Board Member (NZ)Mayor111312 Member of ParliamentAlternative Title:ParliamentarianRepresents the interests of people in a constituency as their elected member to national, state or territory parliament.Skill Level: 1Specialisations:Chief MinisterGovernment MinisterMember of the Legislative AssemblyMember of the Legislative CouncilPremierPrime MinisterSenator111399 Legislators necThis occupation group covers Legislators not elsewhere classified.Skill Level: 1Occupations in this group include:Aboriginal Community Council MemberCouncillor, Aboriginal Land Council","developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws; helping constituents with a range of problems particularly with regard to matters concerning government and local agencies; investigating matters of concern to the public and to particular persons and groups; introducing proposals for government action and representing public and electoral interests; issuing policy directions to government departments and exercising control over local government authorities; attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans; may serve as a member on parliamentary committees and inquiries; may present petitions on behalf of concerned groups","Managers > Chief Executives, General Managers and Legislators > Legislators",1113,Legislators,
"Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:planning and coordinating the operation of hatcheries and crop productionbreeding and raising livestock and aquatic stockmonitoring and maintaining the health of stockidentifying and controlling environmental toxins, weeds, pests and diseasesorganising and conducting farming operations such as maintaining buildings, water supply systems and equipmentmanaging business capital, monitoring market activity and planning production to meet contract requirements and market demand","planning and coordinating the operation of hatcheries and crop production; breeding and raising livestock and aquatic stock; monitoring and maintaining the health of stock; identifying and controlling environmental toxins, weeds, pests and diseases; organising and conducting farming operations such as maintaining buildings, water supply systems and equipment; managing business capital, monitoring market activity and planning production to meet contract requirements and market demand",Managers > Farmers and Farm Managers,12,Farmers and Farm Managers,
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:planning and coordinating the operation of hatcheries and crop productionbreeding and raising livestock and aquatic stockmonitoring and maintaining the health of stockidentifying and controlling environmental toxins, weeds, pests and diseasesorganising and conducting farming operations such as maintaining buildings, water supply systems and equipmentmanaging business capital, monitoring market activity and planning production to meet contract requirements and market demand","planning and coordinating the operation of hatcheries and crop production; breeding and raising livestock and aquatic stock; monitoring and maintaining the health of stock; identifying and controlling environmental toxins, weeds, pests and diseases; organising and conducting farming operations such as maintaining buildings, water supply systems and equipment; managing business capital, monitoring market activity and planning production to meet contract requirements and market demand",Managers > Farmers and Farm Managers,121,Farmers and Farm Managers,
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:planning and coordinating the operation of hatcheries and grow-out operations taking into account environmental and market factorscoordinating and overseeing strategies to monitor the environment to maintain optimal growing conditions, minimise the impact of operations on the environment and manage biosecurity and other riskscoordinating and overseeing strategies to monitor and maintain the health, welfare and condition of aquatic stockoverseeing and undertaking breeding, feeding and nutrition programsoverseeing transportation of aquatic stock to new tanks, ponds, cages and floating net penscoordinating and overseeing harvesting, grading, processing and packaging operations for aquatic stockdirecting and overseeing general farming activities including the provision and maintenance of farming infrastructure and equipmentorganising the sale, purchase and transportation of aquatic stockmaintaining and evaluating records of farming activities, monitoring market activity and planning production accordinglyoverseeing data collection and analysis and farm technology systemsmanaging business capital including budgeting, taxation, debt and loan managementmay select, train and supervise staff and contractorsOccupation:121111 Aquaculture Farmer121111 Aquaculture FarmerAlternative Title:Aquaculture Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise fish and other aquatic stock.Skill Level: 1Specialisations:Grow-Out Manager (Aquaculture)Hatchery Manager (Aquaculture)Oyster Farmer","planning and coordinating the operation of hatcheries and grow-out operations taking into account environmental and market factors; coordinating and overseeing strategies to monitor the environment to maintain optimal growing conditions, minimise the impact of operations on the environment and manage biosecurity and other risks; coordinating and overseeing strategies to monitor and maintain the health, welfare and condition of aquatic stock; overseeing and undertaking breeding, feeding and nutrition programs; overseeing transportation of aquatic stock to new tanks, ponds, cages and floating net pens; coordinating and overseeing harvesting, grading, processing and packaging operations for aquatic stock; directing and overseeing general farming activities including the provision and maintenance of farming infrastructure and equipment; organising the sale, purchase and transportation of aquatic stock; maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly; overseeing data collection and analysis and farm technology systems; managing business capital including budgeting, taxation, debt and loan management; may select, train and supervise staff and contractors",Managers > Farmers and Farm Managers > Aquaculture Farmers,1211,Aquaculture Farmers,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wooloverseeing and undertaking breeding, feeding and nutrition programsmonitoring and maintaining the health, welfare and condition of livestock, including developing and overseeing strategies to manage biosecurity and other risksproviding water, and providing and growing pastures and fodder crops to maintain livestock health and conditionorganising farming operations and routines such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging producedirecting and overseeing general farming activities including the provision and maintenance of infrastructure such as fences, sheds, pens, water supply systems and irrigation infrastructureorganising the sale, purchase and transportation of livestock and producemaintaining and evaluating records of farming activities, monitoring market activity and planning production accordinglyoverseeing data collection and analysis and farm technology systemsmanaging business capital including budgeting, taxation, debt and loan managementmay select, train and supervise staff and contractorsOccupations:121311 Apiarist121312 Beef Cattle Farmer121313 Dairy Cattle Farmer121314 Deer Farmer121315 Goat Farmer121316 Horse Breeder121318 Pig Farmer121321 Poultry Farmer121322 Sheep Farmer121323 Mixed Cattle and Sheep Farmer121399 Livestock Farmers nec121311 ApiaristAlternative Title:BeekeeperPlans, organises, controls, coordinates and operates apiaries to produce honey, queen bee pollen, beeswax and royal jelly, breed queen bees and pollinate crops.Skill Level: 1121312 Beef Cattle FarmerAlternative Titles:Beef Cattle Farm ManagerBeef Cattle GrazierPlans, organises, controls, coordinates and performs farming operations to breed and raise beef cattle for meat and breeding stock.Skill Level: 1121313 Dairy Cattle FarmerAlternative Title:Dairy Cattle Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise dairy cattle for milk, meat and breeding stock.Dairy Herd Managers are excluded from this occupation. Dairy Herd Managers are included in Occupation 363213 Senior Dairy Cattle Farm Worker.Skill Level: 1Specialisation:Share Dairy Farmer121314 Deer FarmerPlans, organises, controls, coordinates and performs farming operations to breed and raise deer for meat, velvet, hides and breeding stock.Skill Level: 1121315 Goat FarmerPlans, organises, controls, coordinates and performs farming operations to breed and raise goats for fibre, milk, meat and breeding stock.Skill Level: 1121316 Horse BreederAlternative Title:Horse Stud ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise horses for competition, dressage, eventing, showjumping, riding for pleasure and working.Skill Level: 1121318 Pig FarmerAlternative Title:Pig Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise pigs for meat and breeding stock.Skill Level: 1Specialisation:Pig Breeder121321 Poultry FarmerAlternative Title:Poultry Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise chickens, turkeys, ducks and other poultry for eggs, meat and breeding stock.Skill Level: 1Specialisations:Egg ProducerHatchery Manager (Poultry)121322 Sheep FarmerAlternative Title:Sheep Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise sheep for wool, meat and breeding stock.Skill Level: 1Specialisation:Wool Grower121323 Mixed Cattle and Sheep FarmerAlternative Title:Mixed Cattle and Sheep Farm ManagerPlans, organises, controls, coordinates and performs farming operations to breed and raise cattle and sheep.Skill Level: 1121399 Livestock Farmers necThis occupation group covers Livestock Farmers not elsewhere classified.Skill Level: 1Occupations in this group include:Alpaca FarmerCrocodile FarmerDog BreederEmu FarmerLlama FarmerOstrich Farmer","breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool; overseeing and undertaking breeding, feeding and nutrition programs; monitoring and maintaining the health, welfare and condition of livestock, including developing and overseeing strategies to manage biosecurity and other risks; providing water, and providing and growing pastures and fodder crops to maintain livestock health and condition; organising farming operations and routines such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce; directing and overseeing general farming activities including the provision and maintenance of infrastructure such as fences, sheds, pens, water supply systems and irrigation infrastructure; organising the sale, purchase and transportation of livestock and produce; maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly; overseeing data collection and analysis and farm technology systems; managing business capital including budgeting, taxation, debt and loan management; may select, train and supervise staff and contractors",Managers > Farmers and Farm Managers > Livestock Farmers,1213,Livestock Farmers,No Shortage
